Mouse.Ensembl.Gene.ID	Human.Ensembl.Gene.ID	Gencode19	Human_Symbol	Mouse_Symbol
ENSMUSG00000035642	ENSG00000087884	ENSG00000087884.10	AAMDC	Aamdc
ENSMUSG00000035649	ENSG00000147905	ENSG00000147905.13	ZCCHC7	Zcchc7
ENSMUSG00000035651	ENSG00000189132	ENSG00000189132.5	FAM47B	4930480E11Rik
ENSMUSG00000035651	ENSG00000185448	ENSG00000185448.9	FAM47A	4930480E11Rik
ENSMUSG00000035651	ENSG00000198173	ENSG00000198173.3	FAM47C	4930480E11Rik
ENSMUSG00000035653	ENSG00000165379	ENSG00000165379.9	LRFN5	Lrfn5
ENSMUSG00000035666	ENSG00000125484	ENSG00000125484.7	GTF3C4	Gtf3c4
ENSMUSG00000035671	ENSG00000132003	ENSG00000132003.5	ZSWIM4	Zswim4
ENSMUSG00000035673	ENSG00000064932	ENSG00000064932.11	SBNO2	Sbno2
ENSMUSG00000035674	ENSG00000170906	ENSG00000170906.11	NDUFA3	Ndufa3
ENSMUSG00000035678	ENSG00000125657	ENSG00000125657.3	TNFSF9	Tnfsf9
ENSMUSG00000035681	ENSG00000166006	ENSG00000166006.8	KCNC2	Kcnc2
ENSMUSG00000035683	ENSG00000165304	ENSG00000165304.3	MELK	Melk
ENSMUSG00000035686	ENSG00000151365	ENSG00000151365.2	THRSP	Thrsp
ENSMUSG00000035692	ENSG00000187608	ENSG00000187608.5	ISG15	Isg15
ENSMUSG00000035694	ENSG00000180881	ENSG00000180881.15	CAPS2	Caps2
ENSMUSG00000035696	ENSG00000137075	ENSG00000137075.13	RNF38	Rnf38
ENSMUSG00000035697	ENSG00000180448	ENSG00000180448.6	HMHA1	Hmha1
ENSMUSG00000035699	ENSG00000163959	ENSG00000163959.5	SLC51A	Slc51a
ENSMUSG00000035704	ENSG00000159063	ENSG00000159063.8	ALG8	Alg8
ENSMUSG00000035711	ENSG00000146094	ENSG00000146094.9	DOK3	Dok3
ENSMUSG00000035713	ENSG00000118369	ENSG00000118369.8	USP35	Usp35
ENSMUSG00000035722	ENSG00000064687	ENSG00000064687.8	ABCA7	Abca7
ENSMUSG00000035725	ENSG00000183943	ENSG00000183943.5	PRKX	Prkx
ENSMUSG00000035726	ENSG00000092201	ENSG00000092201.5	SUPT16H	Supt16
ENSMUSG00000035735	ENSG00000134780	ENSG00000134780.5	DAGLA	Dagla
ENSMUSG00000035745	ENSG00000116032	ENSG00000116032.5	GRIN3B	Grin3b
ENSMUSG00000035754	ENSG00000065268	ENSG00000065268.6	WDR18	Wdr18
ENSMUSG00000035757	ENSG00000073169	ENSG00000073169.9	SELO	Selo
ENSMUSG00000035759	ENSG00000179941	ENSG00000179941.6	BBS10	Bbs10
ENSMUSG00000035762	ENSG00000164180	ENSG00000164180.9	TMEM161B	Tmem161b
ENSMUSG00000035764	ENSG00000174013	ENSG00000174013.7	FBXO45	Fbxo45
ENSMUSG00000035765	ENSG00000141627	ENSG00000141627.9	DYM	Dym
ENSMUSG00000035769	ENSG00000093217	ENSG00000093217.5	XYLB	Xylb
ENSMUSG00000035770	ENSG00000135720	ENSG00000135720.8	DYNC1LI2	Dync1li2
ENSMUSG00000035772	ENSG00000122140	ENSG00000122140.6	MRPS2	Mrps2
ENSMUSG00000035773	ENSG00000116014	ENSG00000116014.5	KISS1R	Kiss1r
ENSMUSG00000035775	ENSG00000171431	ENSG00000171431.3	KRT20	Krt20
ENSMUSG00000035776	ENSG00000102181	ENSG00000102181.15	CD99L2	Cd99l2
ENSMUSG00000035780	ENSG00000135220	ENSG00000135220.6	UGT2A3	Ugt2a3
ENSMUSG00000035781	ENSG00000198858	ENSG00000198858.5	R3HDM4	R3hdm4
ENSMUSG00000035783	ENSG00000107796	ENSG00000107796.8	ACTA2	Acta2
ENSMUSG00000035785	ENSG00000140932	ENSG00000140932.5	CMTM2	Cmtm2b
ENSMUSG00000035790	ENSG00000174007	ENSG00000174007.7	CEP19	Cep19
ENSMUSG00000035798	ENSG00000186908	ENSG00000186908.10	ZDHHC17	Zdhhc17
ENSMUSG00000035799	ENSG00000122691	ENSG00000122691.8	TWIST1	Twist1
ENSMUSG00000035804	ENSG00000254647	ENSG00000254647.2	INS	Ins1
ENSMUSG00000035805	ENSG00000100427	ENSG00000100427.11	MLC1	Mlc1
ENSMUSG00000035811	ENSG00000171234	ENSG00000171234.9	UGT2B7	Ugt2b35
ENSMUSG00000035818	ENSG00000148735	ENSG00000148735.10	PLEKHS1	Plekhs1
ENSMUSG00000035824	ENSG00000166548	ENSG00000166548.11	TK2	Tk2
ENSMUSG00000035828	ENSG00000198355	ENSG00000198355.4	PIM3	Pim3
ENSMUSG00000035829	ENSG00000196422	ENSG00000196422.6	PPP1R26	Ppp1r26
ENSMUSG00000035831	ENSG00000204897	ENSG00000204897.6	KRT25	Krt25
ENSMUSG00000035834	ENSG00000113356	ENSG00000113356.6	POLR3G	Polr3g
ENSMUSG00000035835	ENSG00000129951	ENSG00000129951.14	LPPR3	BC005764
ENSMUSG00000035836	ENSG00000156096	ENSG00000156096.8	UGT2B4	Ugt2b1
ENSMUSG00000035840	ENSG00000176018	ENSG00000176018.8	LYSMD3	Lysmd3
ENSMUSG00000035842	ENSG00000013573	ENSG00000013573.12	DDX11	Ddx11
ENSMUSG00000035845	ENSG00000182858	ENSG00000182858.9	ALG12	Alg12
ENSMUSG00000035847	ENSG00000010404	ENSG00000010404.13	IDS	Ids
ENSMUSG00000035849	ENSG00000213424	ENSG00000213424.4	KRT222	Krt222
ENSMUSG00000035851	ENSG00000083896	ENSG00000083896.8	YTHDC1	Ythdc1
ENSMUSG00000035852	ENSG00000099812	ENSG00000099812.6	MISP	Misp
ENSMUSG00000035860	ENSG00000128536	ENSG00000128536.11	CDHR3	Cdhr3
ENSMUSG00000035861	ENSG00000185873	ENSG00000185873.7	TMPRSS11B	Tmprss11bnl
ENSMUSG00000035863	ENSG00000099864	ENSG00000099864.13	PALM	Palm
ENSMUSG00000035864	ENSG00000067715	ENSG00000067715.9	SYT1	Syt1
ENSMUSG00000035873	ENSG00000177425	ENSG00000177425.6	PAWR	Pawr
ENSMUSG00000035877	ENSG00000174306	ENSG00000174306.17	ZHX3	Zhx3
ENSMUSG00000035878	ENSG00000188266	ENSG00000188266.9	HYKK	Hykk
ENSMUSG00000035885	ENSG00000176340	ENSG00000176340.3	COX8A	Cox8a
ENSMUSG00000035890	ENSG00000070423	ENSG00000070423.13	RNF126	Rnf126
ENSMUSG00000035891	ENSG00000100422	ENSG00000100422.9	CERK	Cerk
ENSMUSG00000035896	ENSG00000129538	ENSG00000129538.9	RNASE1	Rnase1
ENSMUSG00000035898	ENSG00000033178	ENSG00000033178.8	UBA6	Uba6
ENSMUSG00000035900	ENSG00000075240	ENSG00000075240.12	GRAMD4	Gramd4
ENSMUSG00000035901	ENSG00000184014	ENSG00000184014.3	DENND5A	Dennd5a
ENSMUSG00000035910	ENSG00000146038	ENSG00000146038.7	DCDC2	Dcdc2a
ENSMUSG00000035914	ENSG00000103855	ENSG00000103855.13	CD276	Cd276
ENSMUSG00000035916	ENSG00000139304	ENSG00000139304.8	PTPRQ	Ptprq
ENSMUSG00000035919	ENSG00000122507	ENSG00000122507.16	BBS9	Bbs9
ENSMUSG00000035923	ENSG00000111046	ENSG00000111046.3	MYF6	Myf6
ENSMUSG00000035930	ENSG00000140835	ENSG00000140835.8	CHST4	Chst4
ENSMUSG00000035932	ENSG00000181803	ENSG00000181803.3	OR6S1	Olfr750
ENSMUSG00000035933	ENSG00000164597	ENSG00000164597.9	COG5	Cog5
ENSMUSG00000035934	ENSG00000165495	ENSG00000165495.11	PKNOX2	Pknox2
ENSMUSG00000035936	ENSG00000112294	ENSG00000112294.8	ALDH5A1	Aldh5a1
ENSMUSG00000035941	ENSG00000005700	ENSG00000005700.10	IBTK	Ibtk
ENSMUSG00000035944	ENSG00000075234	ENSG00000075234.12	TTC38	Ttc38
ENSMUSG00000035946	ENSG00000180613	ENSG00000180613.6	GSX2	Gsx2
ENSMUSG00000035948	ENSG00000111058	ENSG00000111058.3	ACSS3	Acss3
ENSMUSG00000035949	ENSG00000119402	ENSG00000119402.12	FBXW2	Fbxw2
ENSMUSG00000035951	ENSG00000176009	ENSG00000176009.2	ASCL3	Ascl3
ENSMUSG00000035953	ENSG00000165782	ENSG00000165782.6	TMEM55B	Tmem55b
ENSMUSG00000035954	ENSG00000128512	ENSG00000128512.15	DOCK4	Dock4
ENSMUSG00000035958	ENSG00000111802	ENSG00000111802.9	TDP2	Tdp2
ENSMUSG00000035960	ENSG00000100823	ENSG00000100823.7	APEX1	Apex1
ENSMUSG00000035963	ENSG00000181781	ENSG00000181781.5	ODF3L2	Odf3l2
ENSMUSG00000035964	ENSG00000105696	ENSG00000105696.4	TMEM59L	Tmem59l
ENSMUSG00000035967	ENSG00000165359	ENSG00000165359.10	DDX26B	Ddx26b
ENSMUSG00000035969	ENSG00000198853	ENSG00000198853.7	RUSC2	Rusc2
ENSMUSG00000035984	ENSG00000112981	ENSG00000112981.3	NME5	Nme5
ENSMUSG00000035992	ENSG00000217128	ENSG00000217128.7	FNIP1	Fnip1
ENSMUSG00000036002	ENSG00000005238	ENSG00000005238.15	FAM214B	Fam214b
ENSMUSG00000036006	ENSG00000111913	ENSG00000111913.11	FAM65B	Fam65b
ENSMUSG00000036009	ENSG00000127720	ENSG00000127720.3	METTL25	Mettl25
ENSMUSG00000036013	ENSG00000156500	ENSG00000156500.10	FAM122C	Fam122c
ENSMUSG00000036019	ENSG00000179104	ENSG00000179104.4	TMTC2	Tmtc2
ENSMUSG00000036022	ENSG00000156504	ENSG00000156504.12	FAM122B	Fam122b
ENSMUSG00000036023	ENSG00000129484	ENSG00000129484.9	PARP2	Parp2
ENSMUSG00000036026	ENSG00000137216	ENSG00000137216.14	TMEM63B	Tmem63b
ENSMUSG00000036027	ENSG00000150750	ENSG00000150750.6	C11orf53	1810046K07Rik
ENSMUSG00000036030	ENSG00000166450	ENSG00000166450.8	PRTG	Prtg
ENSMUSG00000036036	ENSG00000204644	ENSG00000204644.5	ZFP57	Zfp57
ENSMUSG00000036040	ENSG00000197859	ENSG00000197859.5	ADAMTSL2	Adamtsl2
ENSMUSG00000036046	ENSG00000100364	ENSG00000100364.14	KIAA0930	5031439G07Rik
ENSMUSG00000036052	ENSG00000137094	ENSG00000137094.10	DNAJB5	Dnajb5
ENSMUSG00000036053	ENSG00000157827	ENSG00000157827.15	FMNL2	Fmnl2
ENSMUSG00000036054	ENSG00000064607	ENSG00000064607.12	SUGP2	Sugp2
ENSMUSG00000036057	ENSG00000076201	ENSG00000076201.10	PTPN23	Ptpn23
ENSMUSG00000036061	ENSG00000123415	ENSG00000123415.10	SMUG1	Smug1
ENSMUSG00000036062	ENSG00000122733	ENSG00000122733.11	KIAA1045	N28178
ENSMUSG00000036067	ENSG00000160326	ENSG00000160326.9	SLC2A6	Slc2a6
ENSMUSG00000036073	ENSG00000213930	ENSG00000213930.7	GALT	Galt
ENSMUSG00000036078	ENSG00000147955	ENSG00000147955.12	SIGMAR1	Sigmar1
ENSMUSG00000036083	ENSG00000124564	ENSG00000124564.13	SLC17A3	Slc17a3
ENSMUSG00000036086	ENSG00000121988	ENSG00000121988.13	ZRANB3	Zranb3
ENSMUSG00000036087	ENSG00000109171	ENSG00000109171.10	SLAIN2	Slain2
ENSMUSG00000036091	ENSG00000186792	ENSG00000186792.11	HYAL3	Hyal3
ENSMUSG00000036093	ENSG00000162980	ENSG00000162980.12	ARL5A	Arl5a
ENSMUSG00000036095	ENSG00000136267	ENSG00000136267.9	DGKB	Dgkb
ENSMUSG00000036097	ENSG00000119906	ENSG00000119906.7	FAM178A	Fam178a
ENSMUSG00000036098	ENSG00000124920	ENSG00000124920.9	MYRF	Myrf
ENSMUSG00000036099	ENSG00000028203	ENSG00000028203.13	VEZT	Vezt
ENSMUSG00000036103	ENSG00000158270	ENSG00000158270.10	COLEC12	Colec12
ENSMUSG00000036104	ENSG00000115839	ENSG00000115839.13	RAB3GAP1	Rab3gap1
ENSMUSG00000036106	ENSG00000186654	ENSG00000186654.16	PRR5	Prr5
ENSMUSG00000036109	ENSG00000076770	ENSG00000076770.10	MBNL3	Mbnl3
ENSMUSG00000036110	ENSG00000112337	ENSG00000112337.6	SLC17A2	Slc17a2
ENSMUSG00000036111	ENSG00000166407	ENSG00000166407.9	LMO1	Lmo1
ENSMUSG00000036112	ENSG00000111142	ENSG00000111142.9	METAP2	Metap2
ENSMUSG00000036114	ENSG00000164967	ENSG00000164967.5	RPP25L	Rpp25l
ENSMUSG00000036117	ENSG00000113525	ENSG00000113525.5	IL5	Il5
ENSMUSG00000036120	ENSG00000064490	ENSG00000064490.9	RFXANK	Rfxank
ENSMUSG00000036123	ENSG00000066230	ENSG00000066230.6	SLC9A3	Slc9a3
ENSMUSG00000036131	ENSG00000165694	ENSG00000165694.5	FRMD7	Frmd7
ENSMUSG00000036136	ENSG00000184731	ENSG00000184731.5	FAM110C	Fam110c
ENSMUSG00000036138	ENSG00000060971	ENSG00000060971.13	ACAA1	Acaa1a
ENSMUSG00000036139	ENSG00000180806	ENSG00000180806.4	HOXC9	Hoxc9
ENSMUSG00000036144	ENSG00000106511	ENSG00000106511.5	MEOX2	Meox2
ENSMUSG00000036151	ENSG00000213996	ENSG00000213996.8	TM6SF2	Tm6sf2
ENSMUSG00000036155	ENSG00000152127	ENSG00000152127.4	MGAT5	Mgat5
ENSMUSG00000036158	ENSG00000139174	ENSG00000139174.6	PRICKLE1	Prickle1
ENSMUSG00000036160	ENSG00000148296	ENSG00000148296.5	SURF6	Surf6
ENSMUSG00000036167	ENSG00000134283	ENSG00000134283.13	PPHLN1	Pphln1
ENSMUSG00000036168	ENSG00000165972	ENSG00000165972.8	CCDC38	Ccdc38
ENSMUSG00000036169	ENSG00000171243	ENSG00000171243.7	SOSTDC1	Sostdc1
ENSMUSG00000036172	ENSG00000163606	ENSG00000163606.6	CD200R1	Cd200r3
ENSMUSG00000036172	ENSG00000206531	ENSG00000206531.6	CD200R1L	Cd200r3
ENSMUSG00000036180	ENSG00000167491	ENSG00000167491.13	GATAD2A	Gatad2a
ENSMUSG00000036181	ENSG00000187837	ENSG00000187837.2	HIST1H1C	Hist1h1c
ENSMUSG00000036185	ENSG00000228727	ENSG00000228727.4	SAPCD1	Sapcd1
ENSMUSG00000036186	ENSG00000165716	ENSG00000165716.5	FAM69B	Fam69b
ENSMUSG00000036188	ENSG00000106524	ENSG00000106524.4	ANKMY2	Ankmy2
ENSMUSG00000036192	ENSG00000198963	ENSG00000198963.6	RORB	Rorb
ENSMUSG00000036196	ENSG00000112053	ENSG00000112053.9	SLC26A8	Slc26a8
ENSMUSG00000036197	ENSG00000151233	ENSG00000151233.6	GXYLT1	Gxylt1
ENSMUSG00000036198	ENSG00000147256	ENSG00000147256.6	ARHGAP36	Arhgap36
ENSMUSG00000036199	ENSG00000186010	ENSG00000186010.14	NDUFA13	Ndufa13
ENSMUSG00000036202	ENSG00000080345	ENSG00000080345.13	RIF1	Rif1
ENSMUSG00000036206	ENSG00000130147	ENSG00000130147.11	SH3BP4	Sh3bp4
ENSMUSG00000036208	ENSG00000163608	ENSG00000163608.10	C3orf17	BC027231
ENSMUSG00000036211	ENSG00000187475	ENSG00000187475.4	HIST1H1T	Hist1h1t
ENSMUSG00000036216	ENSG00000164406	ENSG00000164406.7	LEAP2	Leap2
ENSMUSG00000036218	ENSG00000165966	ENSG00000165966.10	PDZRN4	Pdzrn4
ENSMUSG00000036223	ENSG00000154839	ENSG00000154839.5	SKA1	Ska1
ENSMUSG00000036225	ENSG00000134504	ENSG00000134504.8	KCTD1	Kctd1
ENSMUSG00000036231	ENSG00000173467	ENSG00000173467.4	AGR3	Agr3
ENSMUSG00000036241	ENSG00000107341	ENSG00000107341.4	UBE2R2	Ube2r2
ENSMUSG00000036242	ENSG00000139971	ENSG00000139971.11	C14orf37	3632451O06Rik
ENSMUSG00000036244	ENSG00000167139	ENSG00000167139.4	TBC1D21	Tbc1d21
ENSMUSG00000036246	ENSG00000089639	ENSG00000089639.6	GMIP	Gmip
ENSMUSG00000036249	ENSG00000184898	ENSG00000184898.6	RBM43	Rbm43
ENSMUSG00000036251	ENSG00000144481	ENSG00000144481.12	TRPM8	Trpm8
ENSMUSG00000036256	ENSG00000163453	ENSG00000163453.7	IGFBP7	Igfbp7
ENSMUSG00000036257	ENSG00000135241	ENSG00000135241.12	PNPLA8	Pnpla8
ENSMUSG00000036264	ENSG00000053108	ENSG00000053108.12	FSTL4	Fstl4
ENSMUSG00000036270	ENSG00000038358	ENSG00000038358.10	EDC4	Edc4
ENSMUSG00000036273	ENSG00000188906	ENSG00000188906.9	LRRK2	Lrrk2
ENSMUSG00000036275	ENSG00000113583	ENSG00000113583.6	C5orf15	9530068E07Rik
ENSMUSG00000036278	ENSG00000133315	ENSG00000133315.6	MACROD1	Macrod1
ENSMUSG00000036281	ENSG00000165684	ENSG00000165684.3	SNAPC4	Snapc4
ENSMUSG00000036282	ENSG00000139977	ENSG00000139977.9	NAA30	Naa30
ENSMUSG00000036285	ENSG00000084092	ENSG00000084092.6	NOA1	Noa1
ENSMUSG00000036291	ENSG00000053770	ENSG00000053770.7	AP5M1	Ap5m1
ENSMUSG00000036292	ENSG00000178075	ENSG00000178075.15	GRAMD1C	Gramd1c
ENSMUSG00000036295	ENSG00000173114	ENSG00000173114.8	LRRN3	Lrrn3
ENSMUSG00000036298	ENSG00000151229	ENSG00000151229.8	SLC2A13	Slc2a13
ENSMUSG00000036299	ENSG00000177576	ENSG00000177576.6	C18orf32	BC031181
ENSMUSG00000036304	ENSG00000184307	ENSG00000184307.9	ZDHHC23	Zdhhc23
ENSMUSG00000036306	ENSG00000061337	ENSG00000061337.11	LZTS1	Lzts1
ENSMUSG00000036309	ENSG00000113558	ENSG00000113558.14	SKP1	Skp1a
ENSMUSG00000036315	ENSG00000066379	ENSG00000066379.10	ZNRD1	Znrd1
ENSMUSG00000036323	ENSG00000174780	ENSG00000174780.11	SRP72	Srp72
ENSMUSG00000036327	ENSG00000165661	ENSG00000165661.11	QSOX2	Qsox2
ENSMUSG00000036330	ENSG00000036565	ENSG00000036565.10	SLC18A1	Slc18a1
ENSMUSG00000036333	ENSG00000134313	ENSG00000134313.10	KIDINS220	Kidins220
ENSMUSG00000036334	ENSG00000152580	ENSG00000152580.8	IGSF10	Igsf10
ENSMUSG00000036339	ENSG00000070269	ENSG00000070269.9	TMEM260	Tmem260
ENSMUSG00000036352	ENSG00000130560	ENSG00000130560.4	UBAC1	Ubac1
ENSMUSG00000036353	ENSG00000169313	ENSG00000169313.9	P2RY12	P2ry12
ENSMUSG00000036356	ENSG00000147408	ENSG00000147408.10	CSGALNACT1	Csgalnact1
ENSMUSG00000036357	ENSG00000165370	ENSG00000165370.1	GPR101	Gpr101
ENSMUSG00000036362	ENSG00000181631	ENSG00000181631.6	P2RY13	P2ry13
ENSMUSG00000036368	ENSG00000115841	ENSG00000115841.15	RMDN2	Rmdn2
ENSMUSG00000036371	ENSG00000142864	ENSG00000142864.10	SERBP1	Serbp1
ENSMUSG00000036372	ENSG00000134825	ENSG00000134825.9	TMEM258	Tmem258
ENSMUSG00000036376	ENSG00000146109	ENSG00000146109.3	ABT1	Abt1
ENSMUSG00000036377	ENSG00000109265	ENSG00000109265.8	KIAA1211	C530008M17Rik
ENSMUSG00000036381	ENSG00000174944	ENSG00000174944.4	P2RY14	P2ry14
ENSMUSG00000036390	ENSG00000116717	ENSG00000116717.7	GADD45A	Gadd45a
ENSMUSG00000036391	ENSG00000113615	ENSG00000113615.8	SEC24A	Sec24a
ENSMUSG00000036395	ENSG00000149328	ENSG00000149328.10	GLB1L2	Glb1l2
ENSMUSG00000036398	ENSG00000204619	ENSG00000204619.3	PPP1R11	Ppp1r11
ENSMUSG00000036401	ENSG00000204007	ENSG00000204007.2	GLT6D1	Glt6d1
ENSMUSG00000036402	ENSG00000172380	ENSG00000172380.5	GNG12	Gng12
ENSMUSG00000036403	ENSG00000174799	ENSG00000174799.6	CEP135	Cep135
ENSMUSG00000036411	ENSG00000164542	ENSG00000164542.8	KIAA0895	9530077C05Rik
ENSMUSG00000036412	ENSG00000183876	ENSG00000183876.8	ARSI	Arsi
ENSMUSG00000036422	ENSG00000136099	ENSG00000136099.9	PCDH8	Pcdh8
ENSMUSG00000036427	ENSG00000105220	ENSG00000105220.10	GPI	Gpi1
ENSMUSG00000036430	ENSG00000124659	ENSG00000124659.5	TBCC	Tbcc
ENSMUSG00000036432	ENSG00000181788	ENSG00000181788.3	SIAH2	Siah2
ENSMUSG00000036435	ENSG00000090989	ENSG00000090989.13	EXOC1	Exoc1
ENSMUSG00000036437	ENSG00000164128	ENSG00000164128.2	NPY1R	Npy1r
ENSMUSG00000036438	ENSG00000143933	ENSG00000143933.12	CALM2	Calm2
ENSMUSG00000036442	ENSG00000168286	ENSG00000168286.1	THAP11	Thap11
ENSMUSG00000036446	ENSG00000139329	ENSG00000139329.4	LUM	Lum
ENSMUSG00000036449	ENSG00000204001	ENSG00000204001.5	LCN8	Lcn8
ENSMUSG00000036450	ENSG00000166135	ENSG00000166135.9	HIF1AN	Hif1an
ENSMUSG00000036452	ENSG00000145819	ENSG00000145819.11	ARHGAP26	Arhgap26
ENSMUSG00000036459	ENSG00000142279	ENSG00000142279.8	WTIP	Wtip
ENSMUSG00000036461	ENSG00000120690	ENSG00000120690.9	ELF1	Elf1
ENSMUSG00000036463	ENSG00000067560	ENSG00000067560.6	RHOA	4930544G11Rik
ENSMUSG00000036466	ENSG00000157890	ENSG00000157890.13	MEGF11	Megf11
ENSMUSG00000036469	ENSG00000145416	ENSG00000145416.9	MARCH1	March1
ENSMUSG00000036473	ENSG00000162065	ENSG00000162065.7	TBC1D24	Tbc1d24
ENSMUSG00000036478	ENSG00000133639	ENSG00000133639.3	BTG1	Btg1
ENSMUSG00000036480	ENSG00000237412	ENSG00000237412.2	PRSS56	Prss56
ENSMUSG00000036492	ENSG00000204618	ENSG00000204618.4	RNF39	Rnf39
ENSMUSG00000036499	ENSG00000102189	ENSG00000102189.12	EEA1	Eea1
ENSMUSG00000036500	ENSG00000163283	ENSG00000163283.6	ALPP	Akp3
ENSMUSG00000036500	ENSG00000163295	ENSG00000163295.4	ALPI	Akp3
ENSMUSG00000036500	ENSG00000163286	ENSG00000163286.3	ALPPL2	Akp3
ENSMUSG00000036501	ENSG00000031003	ENSG00000031003.6	FAM13B	Fam13b
ENSMUSG00000036502	ENSG00000125355	ENSG00000125355.11	TMEM255A	Tmem255a
ENSMUSG00000036503	ENSG00000082996	ENSG00000082996.15	RNF13	Rnf13
ENSMUSG00000036504	ENSG00000054148	ENSG00000054148.13	PHPT1	Phpt1
ENSMUSG00000036510	ENSG00000150394	ENSG00000150394.9	CDH8	Cdh8
ENSMUSG00000036513	ENSG00000114744	ENSG00000114744.4	COMMD2	Commd2
ENSMUSG00000036523	ENSG00000196208	ENSG00000196208.9	GREB1	Greb1
ENSMUSG00000036526	ENSG00000198286	ENSG00000198286.5	CARD11	Card11
ENSMUSG00000036528	ENSG00000166387	ENSG00000166387.7	PPFIBP2	Ppfibp2
ENSMUSG00000036529	ENSG00000100241	ENSG00000100241.16	SBF1	Sbf1
ENSMUSG00000036533	ENSG00000163171	ENSG00000163171.6	CDC42EP3	Cdc42ep3
ENSMUSG00000036534	ENSG00000103042	ENSG00000103042.4	SLC38A7	Slc38a7
ENSMUSG00000036537	ENSG00000125352	ENSG00000125352.4	RNF113A	Rnf113a1
ENSMUSG00000036545	ENSG00000087116	ENSG00000087116.9	ADAMTS2	Adamts2
ENSMUSG00000036550	ENSG00000125107	ENSG00000125107.12	CNOT1	Cnot1
ENSMUSG00000036551	ENSG00000186471	ENSG00000186471.8	AKAP14	Akap14
ENSMUSG00000036552	ENSG00000130023	ENSG00000130023.11	ERMARD	Ermard
ENSMUSG00000036553	ENSG00000125089	ENSG00000125089.12	SH3TC1	Sh3tc1
ENSMUSG00000036555	ENSG00000106012	ENSG00000106012.13	IQCE	Iqce
ENSMUSG00000036557	ENSG00000239605	ENSG00000239605.4	C2orf61	1700011E24Rik
ENSMUSG00000036560	ENSG00000153902	ENSG00000153902.9	LGI4	Lgi4
ENSMUSG00000036561	ENSG00000100239	ENSG00000100239.11	PPP6R2	Ppp6r2
ENSMUSG00000036564	ENSG00000103034	ENSG00000103034.10	NDRG4	Ndrg4
ENSMUSG00000036565	ENSG00000136295	ENSG00000136295.10	TTYH3	Ttyh3
ENSMUSG00000036568	ENSG00000112624	ENSG00000112624.8	GLTSCR1L	Gltscr1l
ENSMUSG00000036570	ENSG00000266964	ENSG00000266964.1	FXYD1	Fxyd1
ENSMUSG00000036572	ENSG00000125351	ENSG00000125351.6	UPF3B	Upf3b
ENSMUSG00000036574	ENSG00000177673	ENSG00000177673.2	C2orf57	1700019O17Rik
ENSMUSG00000036578	ENSG00000221946	ENSG00000221946.3	FXYD7	Fxyd7
ENSMUSG00000036580	ENSG00000133104	ENSG00000133104.8	SPG20	Spg20
ENSMUSG00000036585	ENSG00000113578	ENSG00000113578.13	FGF1	Fgf1
ENSMUSG00000036586	ENSG00000205076	ENSG00000205076.4	LGALS7	Grifin
ENSMUSG00000036587	ENSG00000180549	ENSG00000180549.7	FUT7	Fut7
ENSMUSG00000036591	ENSG00000107863	ENSG00000107863.12	ARHGAP21	Arhgap21
ENSMUSG00000036594	ENSG00000196735	ENSG00000196735.7	HLA-DQA1	H2-Aa
ENSMUSG00000036594	ENSG00000237541	ENSG00000237541.3	HLA-DQA2	H2-Aa
ENSMUSG00000036596	ENSG00000109625	ENSG00000109625.14	CPZ	Cpz
ENSMUSG00000036598	ENSG00000103021	ENSG00000103021.5	CCDC113	Ccdc113
ENSMUSG00000036599	ENSG00000136213	ENSG00000136213.7	CHST12	Chst12
ENSMUSG00000036602	ENSG00000180318	ENSG00000180318.3	ALX1	Alx1
ENSMUSG00000036606	ENSG00000196576	ENSG00000196576.10	PLXNB2	Plxnb2
ENSMUSG00000036611	ENSG00000122547	ENSG00000122547.6	EEPD1	Eepd1
ENSMUSG00000036613	ENSG00000032389	ENSG00000032389.8	TSSC1	Tssc1
ENSMUSG00000036615	ENSG00000133111	ENSG00000133111.3	RFXAP	Rfxap
ENSMUSG00000036617	ENSG00000120549	ENSG00000120549.11	KIAA1217	Etl4
ENSMUSG00000036620	ENSG00000161013	ENSG00000161013.12	MGAT4B	Mgat4b
ENSMUSG00000036622	ENSG00000159363	ENSG00000159363.13	ATP13A2	Atp13a2
ENSMUSG00000036632	ENSG00000120697	ENSG00000120697.4	ALG5	Alg5
ENSMUSG00000036634	ENSG00000105695	ENSG00000105695.10	MAG	Mag
ENSMUSG00000036636	ENSG00000103249	ENSG00000103249.13	CLCN7	Clcn7
ENSMUSG00000036639	ENSG00000106268	ENSG00000106268.11	NUDT1	Nudt1
ENSMUSG00000036641	ENSG00000153237	ENSG00000153237.13	CCDC148	Ccdc148
ENSMUSG00000036644	ENSG00000197226	ENSG00000197226.8	TBC1D9B	Tbc1d9b
ENSMUSG00000036646	ENSG00000177239	ENSG00000177239.10	MAN1B1	Man1b1
ENSMUSG00000036648	ENSG00000184786	ENSG00000184786.4	TCTE3	Gm3417
ENSMUSG00000036655	ENSG00000118004	ENSG00000118004.13	COLEC11	Colec11
ENSMUSG00000036658	ENSG00000124657	ENSG00000124657.1	OR2B6	Olfr11
ENSMUSG00000036661	ENSG00000105339	ENSG00000105339.6	DENND3	Dennd3
ENSMUSG00000036667	ENSG00000198420	ENSG00000198420.5	FAM115A	Fam115a
ENSMUSG00000036672	ENSG00000102901	ENSG00000102901.8	CENPT	Cenpt
